id,appid,developer
563,22500,"Apus Software, Three Donkeys LLC"
564,22600,Team17 Digital Ltd
565,22610,Team17 Software Ltd. 
566,22650,Team17 Digital Ltd
567,22670,Team17 Digital Ltd
568,23130,
569,23140,
570,23150,Red Chain Games Ltd.
571,23300,Square Enix
572,23310,Square Enix
573,23380,"Square Enix, PopCap Games, Inc."
574,23400,Haemimont Games
575,23420,Paradox Development Studio
576,23450,Haemimont Games
577,23460,Realmforge Studios
578,23490,Haemimont Games
579,23500,Infinite Interactive
580,23530,"Vicious Cycle Software, Inc."
581,23600,Soldak Entertainment
582,23700,Infinite Interactive
583,24010,Dovetail Games
584,24200,Daybreak Game Company
585,24240,OVERKILL Software
586,24400,NeocoreGames
587,24410,NeocoreGames
588,24420,"Bit Blot, LLC"
589,24460,NeocoreGames
590,24480,NeocoreGames
591,24640,N3V Games
592,24650,N3V Games
593,24660,N3V Games
594,24670,N3V Games
595,24720,EA - Maxis
596,24740,Criterion Games
597,24780,"EA - Maxis, Aspyr (Mac)"
598,24790,EA Los Angeles
599,24800,EA Los Angeles
600,24810,EA Los Angeles
601,24840,EA Los Angeles
602,24870,Slightly Mad Studios
603,24960,DICE
604,24980,BioWare
605,25000,Wolfire Games
606,25010,Wolfire Games
607,25500,Mindstorm Studios
608,25600,Basilisk Games
609,25620,Basilisk Games
610,25700,Playbrains
611,25730,
612,25800,Paradox Development Studio
613,25830,Black Sea Studios Ltd
614,25850,1C:InoCo
615,25890,Paradox Development Studio
616,25900,1C Entertainment
617,25910,BattleGoat Studios
618,25930,Nitro Games
619,25980,1C:InoCo
620,25990,Cyberlore
621,26000,Twisted Pixel Games
622,26300,Paleo Entertainment
623,26500,Lazy 8 Studios
624,26800,Number None
625,26900,Kloonigames
626,27000,Tale of Tales
627,27020,Tale of Tales
628,27050,Tale of Tales
629,27200,49 Games
630,27330,Zombie Studios
631,27400,Mousechief
632,27600,Red Rocket Games
633,27800,Llamasoft LTD
634,27810,Llamasoft LTD
635,27900,DnS Development
636,27920,DnS Development
637,27940,DnS Development
638,28000,IO Interactive
639,29017,
640,29120,KranX Productions
641,29130,KranX Productions
642,29160,Erik Svedäng
643,29180,Hemisphere Games
644,29800,Elecorn
645,29900,Digital Extremes
646,31170,Telltale Games
647,31180,Telltale Games
648,31190,Telltale Games
649,31200,Telltale Games
650,31210,Telltale Games
651,31220,Telltale Games
652,31230,Telltale Games
653,31240,Telltale Games
654,31250,Telltale Games
655,31260,Telltale Games
656,31270,Telltale Games
657,31280,Telltale Games
658,31290,Telltale Games
659,31300,Replay Studios
660,31700,ISOTX
661,31800,HeR Interactive
662,31810,HeR Interactive
663,31820,HeR Interactive
664,31830,HeR Interactive
665,31840,HeR Interactive
666,31850,HeR Interactive
667,31860,HeR Interactive
668,31870,HeR Interactive
669,31880,HeR Interactive
670,31890,HeR Interactive
671,31900,HeR Interactive
672,31910,HeR Interactive
673,31920,HeR Interactive
674,31930,HeR Interactive
675,31980,HeR Interactive
676,32000,"Thinking Studios, Slam Dunk Studios"
677,32110,MumboJumbo
678,32120,MumboJumbo
679,32140,MumboJumbo
680,32150,TrueThought
681,32160,MumboJumbo
682,32200,Black Jacket Studios
683,32310,LucasArts
684,32330,Traveller's Tales
685,32340,LucasArts
686,32350,LucasArts
687,32360,LucasArts
688,32370,"BioWare, Aspyr (Mac)"
689,32380,LucasArts
690,32390,LucasArts
691,32400,LucasArts
692,32410,LucasArts
693,32420,Krome Studios
694,32430,"LucasArts, Aspyr Studios"
695,32440,"Traveller's Tales, Feral Interactive (Mac)"
696,32450,Traveller's Tales
697,32460,LucasArts
698,32470,Petroglyph
699,32500,Aspyr Studios
700,32510,Traveller's Tales
701,32610,NovaLogic
702,32620,NovaLogic
703,32630,NovaLogic
704,32640,NovaLogic
705,32650,NovaLogic
706,32660,NovaLogic
707,32670,NovaLogic
708,32680,Ritual Entertainment
709,32710,NovaLogic
710,32720,NovaLogic
711,32730,NovaLogic
712,32740,NovaLogic
713,32750,NovaLogic
714,32760,NovaLogic
715,32770,NovaLogic
716,32800,Snowblind Studios
717,32900,Enlight Software Limited
718,33100,Sigma Team Inc.
719,33110,Sigma Team Inc.
720,33120,Sigma Team Inc.
721,33130,Sigma Team Inc.
722,33180,Sigma Team Inc.
723,33210,"Blue Byte, Related Designs"
724,33230,Ubisoft Montreal
725,33320,Ubisoft Montreal
726,33390,Brightside Games
727,33460,Ubisoft Montpellier
728,33520,"PopTop Software, BreakAway Games, Frog City Software"
729,33550,"SkyFallen Entertainment, 1C Company, 1C-SoftClub"
730,33570,Ascaron Entertainment ltd.
731,33580,Ascaron Entertainment ltd.
732,33600,Revolution Software Ltd
733,33610,Revolution Software Ltd
734,33620,Synetic
735,33650,Ideas Pad
736,33660,Kokakiki
737,33670,"Akella, .dat"
738,33680,Zaratustra Productions
739,33700,dtp – young entertainment Gmbh & Co. KG
740,33710,dtp – young entertainment Gmbh & Co. KG
741,33720,dtp – young entertainment Gmbh & Co. KG
742,33730,
743,33750,
744,33760,Bamtang
745,33770,DTP
746,33790,"Gunnar Games, Inc."
747,33900,Bohemia Interactive
748,33930,Bohemia Interactive
749,33950,Altar Games
750,33980,Centauri Production
751,33990,Centauri Production
752,34010,Obsidian Entertainment
753,34030,"CREATIVE ASSEMBLY, Feral Interactive (Mac)"
754,34180,Eurocom
755,34190,Sumo Digital
756,34270,D3T Limited
757,34390,
758,34410,Haggard Games
759,34420,Unicorn Games Studio
760,34500,SaintXi
761,34600,Wargaming.net
762,34630,Wargaming.net
763,34640,Wargaming.net
764,34800,City Interactive S.A.
765,34810,City Interactive
766,34820,City Interactive
767,34830,City Interactive
768,34870,City Interactive
769,34900,Invent4 Entertainment
770,34920,Invent4 Entertainment
771,35000,IO Interactive
772,35070,Honeyslug
773,35130,Crystal Dynamics
774,35140,"Rocksteady Studios, Feral Interactive (Mac)"
775,35300,GFI Russia
776,35310,Targem Games
777,35320,Targem Games
778,35450,Tripwire Interactive
779,35460,Teotl Studios
780,35470,
781,35480,Power of 2
782,35600,Frima
783,35700,Frozenbyte
784,35720,Frozenbyte
785,35800,Digital Eel
786,36000,Sakari Indie
787,36100,Sandlot Games
788,36130,Sandlot Games
789,36150,Sandlot Games
790,36180,Sandlot Games
791,36210,Sandlot Games
792,36240,Sandlot Games
793,36270,Sandlot Games
794,36300,Sandlot Games
795,36310,Sandlot Games
796,36320,Cateia Games
797,36900,3000AD
798,36910,3000AD
799,37000,Ice-Pick Lodge
800,37010,FromSoftware
801,37030,Chaos Concept
802,37100,Citeremis Inc.
803,37210,"Big Splash Games, LLC"
804,37220,Aliasworlds Entertainment
805,37230,Zemnott
806,37240,PlayFirst
807,37260,Wadjet Eye Games
808,37270,PlayFirst
809,37280,Sarbakan
810,37290,Red Rocket Games
811,37300,PlayFirst
812,37310,Absolutist Ltd.
813,37320,PlayFirst
814,37330,PlayFirst
815,37340,Sarbakan
816,37360,PlayFirst
817,37370,PlayFirst
818,37380,PlayFirst
819,37390,PlayFirst
820,37400,Size Five Games
821,37500,Yullaby
822,37600,Vectorpark
823,37700,8monkey Labs
824,37800,Gamerizon
825,37960,iWin
826,38000,iWin
827,38070,iWin
828,38080,Hip Soft
829,38090,Hip Soft
830,38100,Hip Soft
831,38110,Hip Soft
832,38120,Alawar
833,38130,Alawar
834,38140,Alawar
835,38150,Alawar
836,38160,Alawar
837,38170,Awem Studio
838,38180,Awem Studio
839,38190,Awem Studio
840,38210,Spidermonk Entertainment
841,38230,"Enlight Software Limited, PerspectX"
842,38400,Interplay Inc.
843,38410,Black Isle Studios
844,38420,14° East
845,38430,Xatrix Entertainment
846,38440,Shiny Entertainment
847,38450,Shiny Entertainment
848,38460,BioWare Corporation
849,38490,Shiny Entertainment
850,38600,Subsoap
851,38700,Two Tribes
852,38720,Two Tribes
853,38740,Two Tribes
854,39000,"Virtual Heroes, Army Game Studio"
855,39110,SQUARE ENIX
856,39120,Trion Worlds
857,39140,Square Enix
858,39150,Square Enix
859,39160,Obsidian Entertainment
860,39190,Gas Powered Games
861,39200,Gas Powered Games
862,39210,Square Enix
863,39500,Piranha Bytes
864,39510,Piranha Bytes
865,39520,4HEAD Studios
866,39530,People Can Fly
867,39540,Phenomic
868,39550,"Phenomic, THQ Nordic"
869,39560,Homegrown Games
870,39630,THQ Nordic
871,39640,THQ Nordic
872,39650,4 Head Studios
873,39660,4 Head Studios
874,39670,Cauldron
875,39680,Rune Forge
876,39690,Spellbound Studios
877,39800,DiezelPower
878,39900,ZoopTEK
879,40100,Gas Powered Games
880,40200,Sabi Games
881,40210,Sabi Games
882,40300,Piranha Bytes
883,40320,Stormregion
884,40330,Animation Arts
885,40340,Animation Arts
886,40350,Animation Arts
887,40380,Techland
888,40390,Piranha Bytes
889,40400,"Arcen Games, LLC"
890,40420,"Arcen Games, LLC"
891,40500,Makivision Games
892,40700,Amanita Design
893,40720,Amanita Design
894,40800,Team Meat
895,40930,The Odd Gentlemen
