id,appid,genre
682,32200,"Action, Indie, Racing, Sports"
683,32310,Adventure
684,32330,"Action, Adventure"
685,32340,Adventure
686,32350,"Action, Simulation"
687,32360,Adventure
688,32370,"Adventure, RPG"
689,32380,Action
690,32390,Action
691,32400,Action
692,32410,Casual
693,32420,Action
694,32430,Action
695,32440,Adventure
696,32450,Adventure
697,32460,Adventure
698,32470,Strategy
699,32500,Action
700,32510,"Action, Adventure"
701,32610,Action
702,32620,Action
703,32630,Action
704,32640,Action
705,32650,Action
706,32660,Action
707,32670,Action
708,32680,Action
709,32710,Simulation
710,32720,Simulation
711,32730,Simulation
712,32740,Simulation
713,32750,"Action, Simulation"
714,32760,Simulation
715,32770,Action
716,32800,"Action, RPG"
717,32900,"Casual, Indie, Simulation, Strategy"
718,33100,"Action, Indie, RPG"
719,33110,"Action, Indie, RPG"
720,33120,"Action, Indie, RPG"
721,33130,"Action, Indie, RPG"
722,33180,"Action, Indie, RPG"
723,33210,"Simulation, Strategy"
724,33230,"Action, Adventure"
725,33320,"Action, Adventure"
726,33390,"Action, Indie"
727,33460,"Adventure, Simulation"
728,33520,"Simulation, Strategy"
729,33550,"Action, RPG"
730,33570,"RPG, Simulation, Strategy"
731,33580,"Simulation, Strategy"
732,33600,Adventure
733,33610,Adventure
734,33620,"Action, Racing"
735,33650,Casual
736,33660,"Casual, Indie"
737,33670,"Strategy, RPG"
738,33680,Indie
739,33700,"Casual, Simulation"
740,33710,"Casual, Simulation"
741,33720,"Casual, Simulation"
742,33730,Simulation
743,33750,Simulation
744,33760,Casual
745,33770,RPG
746,33790,Casual
747,33900,"Action, Simulation, Strategy"
748,33930,"Action, Simulation, Strategy"
749,33950,"Casual, Indie"
750,33980,Action
751,33990,Adventure
752,34010,"Action, RPG"
753,34030,Strategy
754,34180,Sports
755,34190,Racing
756,34270,"Action, Adventure, Casual, RPG"
757,34390,
758,34410,Action
759,34420,Strategy
760,34500,"Indie, Simulation, Strategy"
761,34600,Strategy
762,34630,Strategy
763,34640,Strategy
764,34800,Adventure
765,34810,"Action, Simulation"
766,34820,Simulation
767,34830,Action
768,34870,Action
769,34900,Indie
770,34920,"Action, Casual, Indie"
771,35000,"Action, Adventure"
772,35070,Casual
773,35130,"Action, Adventure"
774,35140,"Action, Adventure"
775,35300,Strategy
776,35310,"Action, Racing"
777,35320,Racing
778,35450,"Action, Massively Multiplayer, Simulation"
779,35460,"Action, Adventure, Indie"
780,35470,
781,35480,"Strategy, Indie, Casual"
782,35600,"Adventure, Casual, Strategy"
783,35700,"Action, Adventure, Indie"
784,35720,"Action, Adventure, Indie"
785,35800,"Casual, Indie"
786,36000,"Action, Indie"
787,36100,Casual
788,36130,Casual
789,36150,Casual
790,36180,Casual
791,36210,Casual
792,36240,Casual
793,36270,
794,36300,Casual
795,36310,"Strategy, Casual"
796,36320,"Adventure, Casual"
797,36900,"Action, Simulation"
798,36910,"Action, Simulation"
799,37000,"Nudity, Action, Adventure"
800,37010,Action
801,37030,Strategy
802,37100,"Action, RPG, Indie"
803,37210,Simulation
804,37220,Simulation
805,37230,Simulation
806,37240,Simulation
807,37260,Adventure
808,37270,"Adventure, RPG"
809,37280,Simulation
810,37290,Casual
811,37300,Simulation
812,37310,Casual
813,37320,Casual
814,37330,Casual
815,37340,Casual
816,37360,Casual
817,37370,Casual
818,37380,Casual
819,37390,Casual
820,37400,"Adventure, Indie"
821,37500,"Indie, Casual"
822,37600,"Adventure, Casual, Indie"
823,37700,Action
824,37800,"Indie, Casual"
825,37960,Casual
826,38000,Casual
827,38070,"Casual, Simulation"
828,38080,Simulation
829,38090,Simulation
830,38100,Simulation
831,38110,Simulation
832,38120,Casual
833,38130,Casual
834,38140,Casual
835,38150,Casual
836,38160,Casual
837,38170,Casual
838,38180,Casual
839,38190,Casual
840,38210,Casual
841,38230,Simulation
842,38400,RPG
843,38410,RPG
844,38420,Strategy
845,38430,Action
846,38440,
847,38450,Action
848,38460,Action
849,38490,"Action, Adventure"
850,38600,"Casual, Indie"
851,38700,"Casual, Indie"
852,38720,"Casual, Indie, Strategy"
853,38740,"Action, Indie"
854,39000,"Adventure, Simulation, Strategy"
855,39110,Casual
856,39120,"Free to Play, Massively Multiplayer, RPG"
857,39140,RPG
858,39150,RPG
859,39160,"Action, RPG"
860,39190,RPG
861,39200,RPG
862,39210,"Massively Multiplayer, RPG"
863,39500,"Action, RPG"
864,39510,"Action, RPG"
865,39520,"Simulation, Strategy"
866,39530,Action
867,39540,"Action, RPG"
868,39550,"RPG, Strategy"
869,39560,Action
870,39630,Action
871,39640,Action
872,39650,"Simulation, Strategy"
873,39660,"Simulation, Strategy"
874,39670,Action
875,39680,"Simulation, Strategy"
876,39690,RPG
877,39800,"Action, Indie"
878,39900,Action
879,40100,Strategy
880,40200,Casual
881,40210,Casual
882,40300,RPG
883,40320,Strategy
884,40330,Adventure
885,40340,Adventure
886,40350,Adventure
887,40380,Racing
888,40390,RPG
889,40400,"Indie, Strategy"
890,40420,"Casual, Indie"
891,40500,"Action, Strategy, Indie"
892,40700,"Adventure, Indie"
893,40720,"Adventure, Casual, Indie"
894,40800,Indie
895,40930,"Adventure, Indie"
896,40950,"Simulation, Strategy"
897,40960,"Simulation, Strategy"
898,40970,"Simulation, Strategy"
899,40980,"Simulation, Strategy"
900,40990,"Violent, Action, Adventure"
901,41000,"Action, Indie"
902,41050,"Action, Indie"
903,41060,"Action, Indie"
904,41070,"Action, Indie"
905,41100,"Action, Indie"
906,41300,"Action, Free to Play, Indie"
907,41310,
908,41400,"Action, Indie"
909,41500,RPG
910,41600,"Action, Adventure"
911,41660,"Action, Adventure, Indie"
912,41680,Indie
913,41700,"Action, RPG"
914,41740,"Action, Adventure, Simulation"
915,41800,"Indie, Simulation, Strategy"
916,41900,"Action, Adventure, RPG"
917,42000,"Casual, Indie"
918,42120,Action
919,42140,"Adventure, Casual, Indie"
920,42170,"Action, Adventure, Indie, RPG, Strategy"
921,42200,
922,42210,Adventure
923,42220,Adventure
924,42230,Adventure
925,42500,"Action, Indie"
926,42670,Action
927,42700,Action
928,42810,Strategy
929,42850,Strategy
930,42890,Strategy
931,42910,"Action, RPG"
932,42920,Strategy
933,42930,Strategy
934,42940,Strategy
935,42950,Strategy
936,42960,Strategy
937,42980,Strategy
938,42990,Strategy
939,43000,Action
940,43100,Simulation
941,43190,"Action, Indie"
942,43500,"Simulation, Strategy"
943,43600,Adventure
944,44100,"Action, Indie, Racing"
945,44340,"Action, Strategy"
946,44350,"Racing, Sports"
947,44360,"Racing, Simulation, Sports"
